policy_id,bind_date,quote_id,customer_id,policy_type,premium_amount,panel_insurer_id,partner_id
POL0000001,2026-08-01,Q0000001,CUST-001282,1_day,106.36,INS-004,
POL0000002,2026-08-01,Q0000002,CUST-004430,3_month,66.74,INS-007,PARTNER-053
POL0000003,2026-08-01,Q0000003,CUST-008299,1_week,47.55,INS-003,
POL0000004,2026-08-01,Q0000007,CUST-001860,1_day,88.85,INS-002,
POL0000005,2026-08-01,Q0000009,CUST-003053,1_month,72.48,INS-001,
POL0000006,2026-08-01,Q0000013,CUST-004500,3_month,28.34,INS-005,
POL0000007,2026-08-01,Q0000016,CUST-005441,1_week,102.91,INS-006,PARTNER-050
POL0000008,2026-08-01,Q0000024,CUST-008579,1_day,56.77,INS-002,
POL0000009,2026-08-01,Q0000026,CUST-002624,1_day,28.69,INS-005,PARTNER-076
POL0000010,2026-08-01,Q0000028,CUST-008934,1_day,97.62,INS-007,
POL0000011,2026-08-01,Q0000029,CUST-001747,1_month,94.39,INS-003,
POL0000012,2026-08-01,Q0000031,CUST-003889,1_day,57.07,INS-001,PARTNER-068
POL0000013,2026-08-01,Q0000032,CUST-005037,3_month,39.15,INS-001,PARTNER-054
POL0000014,2026-08-01,Q0000039,CUST-002320,3_month,57.11,INS-005,
POL0000015,2026-08-01,Q0000041,CUST-008772,1_day,123.63,INS-002,
POL0000016,2026-08-01,Q0000043,CUST-001989,1_week,18.17,INS-004,
POL0000017,2026-08-01,Q0000044,CUST-004546,1_day,46.84,INS-002,PARTNER-064
POL0000018,2026-08-01,Q0000046,CUST-004113,3_month,130.78,INS-001,PARTNER-013
POL0000019,2026-08-01,Q0000048,CUST-005272,1_month,36.44,INS-004,
POL0000020,2026-08-01,Q0000049,CUST-003955,1_day,65.68,INS-004,
POL0000021,2026-08-01,Q0000050,CUST-000750,1_day,92.9,INS-003,PARTNER-076
POL0000022,2026-08-01,Q0000051,CUST-004675,3_month,131.84,INS-002,PARTNER-065
POL0000023,2026-08-01,Q0000054,CUST-004308,1_week,17.55,INS-001,PARTNER-061
POL0000024,2026-08-02,Q0000055,CUST-005277,1_week,99.36,INS-001,
POL0000025,2026-08-02,Q0000056,CUST-002521,1_day,45.2,INS-001,
POL0000026,2026-08-02,Q0000059,CUST-000777,1_week,58.21,INS-005,PARTNER-009
POL0000027,2026-08-02,Q0000066,CUST-003975,3_month,31.07,INS-003,
POL0000028,2026-08-02,Q0000067,CUST-005957,1_day,138.98,INS-003,
POL0000029,2026-08-02,Q0000068,CUST-000841,1_day,74.84,INS-007,PARTNER-040
POL0000030,2026-08-02,Q0000077,CUST-006744,1_week,15.48,INS-004,
POL0000031,2026-08-02,Q0000079,CUST-007156,1_day,76.16,INS-007,PARTNER-028
POL0000032,2026-08-02,Q0000084,CUST-000101,1_day,107.06,INS-006,PARTNER-014
POL0000033,2026-08-02,Q0000089,CUST-005015,1_week,29.32,INS-004,
POL0000034,2026-08-02,Q0000094,CUST-000496,1_day,123.86,INS-002,PARTNER-031
POL0000035,2026-08-02,Q0000095,CUST-002579,3_month,55.41,INS-005,PARTNER-035
POL0000036,2026-08-02,Q0000096,CUST-004880,3_month,142.96,INS-004,
POL0000037,2026-08-02,Q0000098,CUST-005951,1_week,103.35,INS-005,
POL0000038,2026-08-02,Q0000101,CUST-002089,1_day,44.55,INS-002,
POL0000039,2026-08-03,Q0000105,CUST-006771,3_month,20.1,INS-004,PARTNER-040
POL0000040,2026-08-03,Q0000109,CUST-008141,3_month,118.01,INS-002,
POL0000041,2026-08-03,Q0000111,CUST-001037,1_month,39.53,INS-002,
POL0000042,2026-08-03,Q0000114,CUST-003695,1_week,128.21,INS-001,
POL0000043,2026-08-03,Q0000116,CUST-008933,3_month,30.89,INS-004,
POL0000044,2026-08-03,Q0000118,CUST-002320,1_month,140.47,INS-003,PARTNER-075
POL0000045,2026-08-03,Q0000120,CUST-005749,1_day,143.11,INS-001,
POL0000046,2026-08-03,Q0000124,CUST-007084,1_day,28.57,INS-003,PARTNER-011
POL0000047,2026-08-03,Q0000130,CUST-005546,3_month,27.81,INS-007,
POL0000048,2026-08-03,Q0000131,CUST-002357,1_day,43.24,INS-001,
POL0000049,2026-08-03,Q0000133,CUST-003369,3_month,131.99,INS-006,
POL0000050,2026-08-03,Q0000135,CUST-004537,1_month,14.51,INS-005,
POL0000051,2026-08-03,Q0000136,CUST-005708,3_month,47.63,INS-004,PARTNER-041
POL0000052,2026-08-03,Q0000139,CUST-002556,1_month,40.47,INS-007,PARTNER-029
POL0000053,2026-08-03,Q0000144,CUST-001905,3_month,19.49,INS-007,PARTNER-046
POL0000054,2026-08-03,Q0000145,CUST-007157,3_month,99.89,INS-001,PARTNER-002
POL0000055,2026-08-03,Q0000151,CUST-004115,3_month,116.98,INS-003,
POL0000056,2026-08-03,Q0000154,CUST-002578,1_month,109.15,INS-005,
POL0000057,2026-08-04,Q0000161,CUST-008755,1_day,79.79,INS-003,PARTNER-067
POL0000058,2026-08-04,Q0000162,CUST-007144,1_week,62.24,INS-002,PARTNER-036
POL0000059,2026-08-04,Q0000166,CUST-003222,3_month,69.02,INS-005,
POL0000060,2026-08-04,Q0000170,CUST-002419,1_month,76.47,INS-002,PARTNER-050
POL0000061,2026-08-04,Q0000176,CUST-004510,3_month,26.35,INS-001,PARTNER-058
POL0000062,2026-08-04,Q0000180,CUST-004117,3_month,36.63,INS-005,
POL0000063,2026-08-04,Q0000182,CUST-003278,1_month,95.18,INS-001,PARTNER-036
POL0000064,2026-08-04,Q0000186,CUST-002893,1_month,102.18,INS-005,
POL0000065,2026-08-04,Q0000193,CUST-000683,3_month,60.94,INS-001,
POL0000066,2026-08-05,Q0000195,CUST-007869,1_day,132.7,INS-006,
POL0000067,2026-08-05,Q0000196,CUST-001582,1_month,135.08,INS-004,
POL0000068,2026-08-05,Q0000197,CUST-005204,3_month,64.1,INS-004,
POL0000069,2026-08-05,Q0000204,CUST-004021,1_day,135.71,INS-002,PARTNER-064
POL0000070,2026-08-05,Q0000207,CUST-002859,1_day,120.94,INS-005,PARTNER-006
POL0000071,2026-08-05,Q0000212,CUST-001150,1_day,134.87,INS-007,PARTNER-025
POL0000072,2026-08-05,Q0000213,CUST-004296,1_month,81.84,INS-003,PARTNER-079
POL0000073,2026-08-05,Q0000219,CUST-008675,1_month,118.42,INS-002,PARTNER-038
POL0000074,2026-08-05,Q0000223,CUST-001484,3_month,31.91,INS-004,PARTNER-038
POL0000075,2026-08-05,Q0000224,CUST-006461,1_day,113.97,INS-004,
POL0000076,2026-08-05,Q0000227,CUST-008148,1_day,54.36,INS-002,PARTNER-002
POL0000077,2026-08-05,Q0000233,CUST-001879,3_month,117.61,INS-006,
POL0000078,2026-08-05,Q0000236,CUST-008556,1_month,85.17,INS-005,PARTNER-010
POL0000079,2026-08-05,Q0000238,CUST-002583,1_week,93.03,INS-006,PARTNER-011
POL0000080,2026-08-06,Q0000243,CUST-005775,1_day,32.56,INS-007,
POL0000081,2026-08-06,Q0000250,CUST-005282,1_week,108.16,INS-002,
POL0000082,2026-08-06,Q0000253,CUST-003582,1_week,57.41,INS-004,
POL0000083,2026-08-06,Q0000255,CUST-000875,1_week,27.47,INS-002,
