insurer_id,insurer_name,feed_date,panel_status,capacity_remaining_pct
INS-001,Aviva Motor,2026-08-01,active,22.0
INS-002,Admiral Temp,2026-08-01,active,20.9
INS-003,LV= Short Term,2026-08-01,active,15.2
INS-004,Hastings Direct,2026-08-01,active,15.8
INS-005,Direct Line Temp,2026-08-01,active,11.2
INS-006,Sabre Insurance,2026-08-01,active,9.9
INS-007,ERS Temp Cover,2026-08-01,active,6.5
INS-001,Aviva Motor,2026-08-02,active,22.0
INS-002,Admiral Temp,2026-08-02,active,18.1
INS-003,LV= Short Term,2026-08-02,active,13.7
INS-004,Hastings Direct,2026-08-02,active,11.7
INS-005,Direct Line Temp,2026-08-02,active,9.6
INS-006,Sabre Insurance,2026-08-02,active,12.0
INS-007,ERS Temp Cover,2026-08-02,active,8.5
INS-001,Aviva Motor,2026-08-03,active,24.2
INS-002,Admiral Temp,2026-08-03,active,19.5
INS-003,LV= Short Term,2026-08-03,active,15.4
INS-004,Hastings Direct,2026-08-03,active,13.7
INS-005,Direct Line Temp,2026-08-03,active,11.2
INS-006,Sabre Insurance,2026-08-03,active,10.4
INS-007,ERS Temp Cover,2026-08-03,active,10.2
INS-001,Aviva Motor,2026-08-04,active,21.1
INS-002,Admiral Temp,2026-08-04,active,19.1
INS-003,LV= Short Term,2026-08-04,active,15.2
INS-004,Hastings Direct,2026-08-04,active,11.9
INS-005,Direct Line Temp,2026-08-04,active,13.4
INS-006,Sabre Insurance,2026-08-04,active,9.2
INS-007,ERS Temp Cover,2026-08-04,active,11.8
INS-001,Aviva Motor,2026-08-05,active,19.9
INS-002,Admiral Temp,2026-08-05,active,18.3
INS-003,LV= Short Term,2026-08-05,active,15.5
INS-004,Hastings Direct,2026-08-05,active,12.0
INS-005,Direct Line Temp,2026-08-05,active,12.5
INS-006,Sabre Insurance,2026-08-05,active,7.9
INS-007,ERS Temp Cover,2026-08-05,active,12.0
INS-001,Aviva Motor,2026-08-06,active,22.1
INS-002,Admiral Temp,2026-08-06,active,19.1
INS-003,LV= Short Term,2026-08-06,active,13.1
INS-004,Hastings Direct,2026-08-06,active,16.5
INS-005,Direct Line Temp,2026-08-06,active,10.2
INS-006,Sabre Insurance,2026-08-06,active,11.8
INS-007,ERS Temp Cover,2026-08-06,active,8.3
INS-001,Aviva Motor,2026-08-07,active,19.2
INS-002,Admiral Temp,2026-08-07,active,20.8
INS-003,LV= Short Term,2026-08-07,active,12.7
INS-004,Hastings Direct,2026-08-07,active,16.8
INS-005,Direct Line Temp,2026-08-07,active,13.1
INS-006,Sabre Insurance,2026-08-07,active,9.2
INS-007,ERS Temp Cover,2026-08-07,active,6.7
INS-001,Aviva Motor,2026-08-08,active,23.0
INS-002,Admiral Temp,2026-08-08,active,18.5
INS-003,LV= Short Term,2026-08-08,active,13.0
INS-004,Hastings Direct,2026-08-08,active,13.6
INS-005,Direct Line Temp,2026-08-08,active,13.9
INS-006,Sabre Insurance,2026-08-08,active,12.1
INS-007,ERS Temp Cover,2026-08-08,active,8.3
INS-001,Aviva Motor,2026-08-09,active,23.5
INS-002,Admiral Temp,2026-08-09,active,16.9
INS-003,LV= Short Term,2026-08-09,active,15.7
INS-004,Hastings Direct,2026-08-09,active,13.9
INS-005,Direct Line Temp,2026-08-09,active,13.2
INS-006,Sabre Insurance,2026-08-09,active,11.1
INS-007,ERS Temp Cover,2026-08-09,active,7.5
INS-001,Aviva Motor,2026-08-10,active,24.4
INS-002,Admiral Temp,2026-08-10,active,20.2
INS-003,LV= Short Term,2026-08-10,active,17.3
INS-004,Hastings Direct,2026-08-10,active,11.5
INS-005,Direct Line Temp,2026-08-10,active,13.0
INS-006,Sabre Insurance,2026-08-10,active,12.4
INS-007,ERS Temp Cover,2026-08-10,active,8.0
INS-001,Aviva Motor,2026-08-11,active,21.3
INS-002,Admiral Temp,2026-08-11,active,19.9
INS-003,LV= Short Term,2026-08-11,active,16.1
INS-004,Hastings Direct,2026-08-11,active,12.4
INS-005,Direct Line Temp,2026-08-11,active,9.8
INS-006,Sabre Insurance,2026-08-11,active,7.8
INS-007,ERS Temp Cover,2026-08-11,active,10.2
INS-001,Aviva Motor,2026-08-12,active,24.9
INS-002,Admiral Temp,2026-08-12,active,16.2
INS-003,LV= Short Term,2026-08-12,active,15.7
INS-004,Hastings Direct,2026-08-12,active,15.5
INS-005,Direct Line Temp,2026-08-12,active,11.9
INS-006,Sabre Insurance,2026-08-12,active,12.3
INS-007,ERS Temp Cover,2026-08-12,active,7.2
INS-001,Aviva Motor,2026-08-13,active,20.8
INS-002,Admiral Temp,2026-08-13,active,19.4
INS-003,LV= Short Term,2026-08-13,active,15.1
INS-004,Hastings Direct,2026-08-13,active,14.5
INS-005,Direct Line Temp,2026-08-13,active,13.3
INS-006,Sabre Insurance,2026-08-13,active,12.2
INS-007,ERS Temp Cover,2026-08-13,active,7.8
INS-001,Aviva Motor,2026-08-14,active,24.0
INS-002,Admiral Temp,2026-08-14,active,18.9
INS-003,LV= Short Term,2026-08-14,active,13.3
INS-004,Hastings Direct,2026-08-14,active,12.0
INS-005,Direct Line Temp,2026-08-14,active,14.1
INS-006,Sabre Insurance,2026-08-14,active,9.1
INS-007,ERS Temp Cover,2026-08-14,active,6.1
INS-001,Aviva Motor,2026-08-15,active,21.4
INS-002,Admiral Temp,2026-08-15,active,16.4
INS-003,LV= Short Term,2026-08-15,active,13.5
INS-004,Hastings Direct,2026-08-15,active,15.3
INS-005,Direct Line Temp,2026-08-15,active,12.1
