partner_id,partner_name,partner_type,commission_rate,active_flag
PARTNER-001,Corporate Fleet Partner 1,corporate_fleet,0.041,1
PARTNER-002,Affinity Partner 2,affinity,0.108,1
PARTNER-003,Broker Partner 3,broker,0.052,1
PARTNER-004,Corporate Fleet Partner 4,corporate_fleet,0.031,1
PARTNER-005,Affinity Partner 5,affinity,0.091,1
PARTNER-006,Broker Partner 6,broker,0.077,1
PARTNER-007,Corporate Fleet Partner 7,corporate_fleet,0.055,1
PARTNER-008,Affinity Partner 8,affinity,0.091,1
PARTNER-009,Broker Partner 9,broker,0.115,1
PARTNER-010,Corporate Fleet Partner 10,corporate_fleet,0.109,1
PARTNER-011,Affinity Partner 11,affinity,0.092,1
PARTNER-012,Broker Partner 12,broker,0.054,1
PARTNER-013,Corporate Fleet Partner 13,corporate_fleet,0.088,1
PARTNER-014,Affinity Partner 14,affinity,0.082,1
PARTNER-015,Broker Partner 15,broker,0.038,1
PARTNER-016,Corporate Fleet Partner 16,corporate_fleet,0.065,1
PARTNER-017,Affinity Partner 17,affinity,0.031,1
PARTNER-018,Broker Partner 18,broker,0.034,1
PARTNER-019,Corporate Fleet Partner 19,corporate_fleet,0.109,1
PARTNER-020,Affinity Partner 20,affinity,0.102,1
PARTNER-021,Broker Partner 21,broker,0.069,1
PARTNER-022,Corporate Fleet Partner 22,corporate_fleet,0.055,1
PARTNER-023,Affinity Partner 23,affinity,0.039,1
PARTNER-024,Broker Partner 24,broker,0.06,1
PARTNER-025,Corporate Fleet Partner 25,corporate_fleet,0.075,1
PARTNER-026,Affinity Partner 26,affinity,0.114,1
PARTNER-027,Broker Partner 27,broker,0.092,1
PARTNER-028,Corporate Fleet Partner 28,corporate_fleet,0.048,1
PARTNER-029,Affinity Partner 29,affinity,0.052,1
PARTNER-030,Broker Partner 30,broker,0.037,1
PARTNER-031,Corporate Fleet Partner 31,corporate_fleet,0.065,0
PARTNER-032,Affinity Partner 32,affinity,0.114,1
PARTNER-033,Broker Partner 33,broker,0.11,1
PARTNER-034,Corporate Fleet Partner 34,corporate_fleet,0.075,1
PARTNER-035,Affinity Partner 35,affinity,0.098,1
PARTNER-036,Broker Partner 36,broker,0.042,1
PARTNER-037,Corporate Fleet Partner 37,corporate_fleet,0.07,0
PARTNER-038,Affinity Partner 38,affinity,0.057,1
PARTNER-039,Broker Partner 39,broker,0.081,1
PARTNER-040,Corporate Fleet Partner 40,corporate_fleet,0.107,1
PARTNER-041,Affinity Partner 41,affinity,0.069,1
PARTNER-042,Broker Partner 42,broker,0.104,1
PARTNER-043,Corporate Fleet Partner 43,corporate_fleet,0.037,1
PARTNER-044,Affinity Partner 44,affinity,0.047,0
PARTNER-045,Broker Partner 45,broker,0.051,1
PARTNER-046,Corporate Fleet Partner 46,corporate_fleet,0.04,1
PARTNER-047,Affinity Partner 47,affinity,0.066,1
PARTNER-048,Broker Partner 48,broker,0.031,1
PARTNER-049,Corporate Fleet Partner 49,corporate_fleet,0.117,1
PARTNER-050,Affinity Partner 50,affinity,0.051,1
PARTNER-051,Broker Partner 51,broker,0.045,1
PARTNER-052,Corporate Fleet Partner 52,corporate_fleet,0.074,1
PARTNER-053,Affinity Partner 53,affinity,0.109,0
PARTNER-054,Broker Partner 54,broker,0.063,1
PARTNER-055,Corporate Fleet Partner 55,corporate_fleet,0.097,1
PARTNER-056,Affinity Partner 56,affinity,0.048,1
PARTNER-057,Broker Partner 57,broker,0.059,1
PARTNER-058,Corporate Fleet Partner 58,corporate_fleet,0.091,1
PARTNER-059,Affinity Partner 59,affinity,0.031,1
PARTNER-060,Broker Partner 60,broker,0.106,1
PARTNER-061,Corporate Fleet Partner 61,corporate_fleet,0.114,1
PARTNER-062,Affinity Partner 62,affinity,0.091,1
PARTNER-063,Broker Partner 63,broker,0.093,1
PARTNER-064,Corporate Fleet Partner 64,corporate_fleet,0.11,1
PARTNER-065,Affinity Partner 65,affinity,0.112,1
PARTNER-066,Broker Partner 66,broker,0.053,1
PARTNER-067,Corporate Fleet Partner 67,corporate_fleet,0.033,1
PARTNER-068,Affinity Partner 68,affinity,0.032,1
PARTNER-069,Broker Partner 69,broker,0.037,1
PARTNER-070,Corporate Fleet Partner 70,corporate_fleet,0.068,1
PARTNER-071,Affinity Partner 71,affinity,0.04,1
PARTNER-072,Broker Partner 72,broker,0.079,1
PARTNER-073,Corporate Fleet Partner 73,corporate_fleet,0.101,1
PARTNER-074,Affinity Partner 74,affinity,0.068,1
PARTNER-075,Broker Partner 75,broker,0.084,1
PARTNER-076,Corporate Fleet Partner 76,corporate_fleet,0.036,1
PARTNER-077,Affinity Partner 77,affinity,0.064,1
PARTNER-078,Broker Partner 78,broker,0.057,1
PARTNER-079,Corporate Fleet Partner 79,corporate_fleet,0.082,1
PARTNER-080,Affinity Partner 80,affinity,0.043,1
PARTNER-081,Broker Partner 81,broker,0.062,1
PARTNER-082,Corporate Fleet Partner 82,corporate_fleet,0.101,1
PARTNER-083,Affinity Partner 83,affinity,0.068,1
PARTNER-084,Broker Partner 84,broker,0.067,1
PARTNER-085,Corporate Fleet Partner 85,corporate_fleet,0.086,1
