quote_id,quote_date,customer_id,channel,policy_type,premium_quoted,converted_flag
Q0000001,2026-08-01,CUST-001282,app,1_day,106.36,1
Q0000002,2026-08-01,CUST-004430,partner_referral,3_month,66.74,1
Q0000003,2026-08-01,CUST-008299,direct_web,1_week,47.55,1
Q0000004,2026-08-01,CUST-000420,partner_referral,1_week,74.44,0
Q0000005,2026-08-01,CUST-003702,partner_referral,1_month,55.12,0
Q0000006,2026-08-01,CUST-006399,app,1_week,61.75,0
Q0000007,2026-08-01,CUST-001860,price_comparison,1_day,88.85,1
Q0000008,2026-08-01,CUST-008482,app,3_month,99.44,0
Q0000009,2026-08-01,CUST-003053,direct_web,1_month,72.48,1
Q0000010,2026-08-01,CUST-006897,direct_web,1_week,136.88,0
Q0000011,2026-08-01,CUST-002585,price_comparison,1_week,16.85,0
Q0000012,2026-08-01,CUST-006619,price_comparison,1_month,75.78,0
Q0000013,2026-08-01,CUST-004500,direct_web,3_month,28.34,1
Q0000014,2026-08-01,CUST-003934,price_comparison,1_week,135.12,0
Q0000015,2026-08-01,CUST-000322,direct_web,1_month,23.12,0
Q0000016,2026-08-01,CUST-005441,partner_referral,1_week,102.91,1
Q0000017,2026-08-01,CUST-003664,partner_referral,3_month,105.84,0
Q0000018,2026-08-01,CUST-003167,direct_web,3_month,123.98,0
Q0000019,2026-08-01,CUST-000733,direct_web,1_day,33.99,0
Q0000020,2026-08-01,CUST-004786,app,1_day,135.19,0
Q0000021,2026-08-01,CUST-003508,partner_referral,3_month,107.97,0
Q0000022,2026-08-01,CUST-000437,direct_web,3_month,137.06,0
Q0000023,2026-08-01,CUST-002104,price_comparison,1_week,72.24,0
Q0000024,2026-08-01,CUST-008579,price_comparison,1_day,56.77,1
Q0000025,2026-08-01,CUST-000310,direct_web,3_month,47.66,0
Q0000026,2026-08-01,CUST-002624,partner_referral,1_day,28.69,1
Q0000027,2026-08-01,CUST-007506,price_comparison,3_month,51.54,0
Q0000028,2026-08-01,CUST-008934,direct_web,1_day,97.62,1
Q0000029,2026-08-01,CUST-001747,direct_web,1_month,94.39,1
Q0000030,2026-08-01,CUST-004589,direct_web,1_week,37.64,0
Q0000031,2026-08-01,CUST-003889,app,1_day,57.07,1
Q0000032,2026-08-01,CUST-005037,app,3_month,39.15,1
Q0000033,2026-08-01,CUST-000928,direct_web,1_day,54.58,0
Q0000034,2026-08-01,CUST-007311,app,3_month,117.38,0
Q0000035,2026-08-01,CUST-003488,direct_web,3_month,21.99,0
Q0000036,2026-08-01,CUST-002719,price_comparison,3_month,96.6,0
Q0000037,2026-08-01,CUST-006332,app,3_month,84.03,0
Q0000038,2026-08-01,CUST-008235,price_comparison,1_month,103.91,0
Q0000039,2026-08-01,CUST-002320,direct_web,3_month,57.11,1
Q0000040,2026-08-01,CUST-004638,price_comparison,1_week,141.22,0
Q0000041,2026-08-01,CUST-008772,price_comparison,1_day,123.63,1
